seguidor_id,seguido_id,desde
user_4608,user_2062,2023-10-24
user_4608,user_1195,2023-04-21
user_4608,user_9964,2023-02-18
user_4750,user_5286,2022-08-10
user_4750,user_5017,2023-03-03
user_4750,user_6052,2023-09-01
user_4750,user_5338,2023-09-22
user_2160,user_6797,2022-09-11
user_2160,user_1864,2022-05-08
user_2160,user_4498,2022-01-05
user_2160,user_7191,2023-04-20
user_8953,user_8596,2023-11-04
user_8953,user_5164,2023-07-03
user_8953,user_7181,2023-02-16
user_8744,user_4467,2023-12-21
user_7669,user_3626,2022-11-30
user_7669,user_4065,2022-06-12
user_7669,user_8063,2022-09-21
user_7669,user_2219,2022-08-11
user_7669,user_2590,2022-12-30
user_8062,user_4422,2022-03-06
user_8062,user_1694,2023-03-19
user_8062,user_7323,2022-12-21
user_8651,user_3350,2022-02-16
user_1993,user_8623,2022-03-18
user_1993,user_2396,2023-04-10
user_2790,user_7987,2023-04-04
user_2790,user_1977,2023-05-18
user_2790,user_6546,2022-12-13
user_2790,user_7457,2022-12-08
user_9786,user_8311,2023-07-31
user_9786,user_4803,2023-07-07
user_4006,user_3575,2023-02-11
user_4006,user_9126,2023-04-15
user_4006,user_2506,2023-03-02
user_2235,user_7978,2022-07-05
user_2604,user_5832,2022-12-22
user_2604,user_4731,2023-04-17
user_2604,user_9090,2022-04-02
user_2604,user_3316,2022-12-03
user_2604,user_9008,2022-12-11
user_1241,user_3658,2022-04-03
user_1241,user_9297,2023-01-29
user_1241,user_6872,2023-06-19
user_3724,user_4485,2023-04-15
user_3724,user_8536,2022-03-27
user_4502,user_6286,2023-07-09
user_4502,user_6055,2023-07-07
user_7209,user_5776,2023-08-28
user_7209,user_3150,2022-11-09
user_7209,user_5309,2023-10-08
user_7209,user_3419,2023-03-05
user_7209,user_9931,2022-01-27
user_8454,user_6913,2022-09-07
user_8454,user_6314,2023-11-14
user_8454,user_7904,2023-06-05
user_8973,user_7443,2022-10-20
user_8973,user_9212,2023-05-19
user_8973,user_5505,2022-07-06
user_8973,user_9241,2023-10-11
user_8973,user_2835,2023-08-21
user_4566,user_8769,2023-08-07
user_1998,user_8679,2023-02-06
user_1998,user_4842,2022-07-31
user_1821,user_4823,2022-10-09
user_1821,user_3290,2022-04-23
user_1821,user_3790,2023-12-09
user_1821,user_7116,2023-03-27
user_1821,user_8025,2023-12-11
user_9701,user_5727,2022-08-05
user_9701,user_8625,2023-08-27
user_9701,user_1050,2022-10-05
user_2312,user_2754,2023-04-14
user_2312,user_2303,2022-08-21
user_2312,user_7527,2023-06-17
user_2113,user_4032,2022-08-12
user_7615,user_5012,2022-09-10
user_7615,user_9337,2023-08-15
user_1651,user_1018,2022-05-09
user_1651,user_7909,2022-07-23
user_1651,user_6231,2023-11-27
user_9565,user_6047,2022-09-04
user_9565,user_3185,2022-01-31
user_9565,user_8836,2023-08-23
user_6147,user_8080,2022-11-26
user_6147,user_1906,2023-06-07
user_6147,user_3221,2023-09-02
user_6147,user_8065,2022-01-03
user_3144,user_1081,2022-01-01
user_3144,user_1862,2023-03-14
user_8491,user_9078,2023-01-28
user_8491,user_3513,2022-07-21
user_1152,user_2429,2022-07-01
user_1152,user_3034,2022-10-11
user_1152,user_3655,2022-10-04
user_1152,user_9380,2023-11-25
user_2638,user_7463,2022-11-21
user_2638,user_3992,2022-07-05
user_9288,user_5823,2023-02-04
user_2127,user_8554,2022-04-21
user_2127,user_9866,2023-12-05
user_2127,user_2564,2022-12-11
user_3584,user_5839,2023-04-15
user_3584,user_9234,2023-01-31
user_3584,user_7694,2023-12-10
user_3584,user_4714,2022-07-10
user_3584,user_2383,2023-05-02
user_5956,user_5001,2022-03-12
user_5956,user_4822,2022-06-13
user_1128,user_9254,2022-04-12
user_1128,user_9537,2022-12-17
user_1128,user_3249,2022-05-27
user_1128,user_7606,2022-06-04
user_1128,user_8673,2023-03-28
user_5905,user_6531,2023-01-05
user_5905,user_2694,2023-10-07
user_5905,user_6633,2022-11-26
user_5905,user_9126,2023-01-08
user_5905,user_7419,2023-07-21
user_3546,user_1915,2022-06-12
user_3546,user_4193,2022-09-15
user_3546,user_1530,2023-11-25
user_4450,user_3383,2022-03-15
user_4450,user_3960,2022-07-08
user_4450,user_8607,2023-12-29
user_4450,user_5117,2023-12-10
user_4450,user_1193,2023-02-24
user_5325,user_1084,2023-10-10
user_1832,user_3350,2022-12-30
user_1832,user_1019,2023-09-12
user_5533,user_1462,2023-06-07
user_3143,user_5016,2023-02-08
user_3143,user_4106,2023-02-26
user_8239,user_8757,2022-01-17
user_1158,user_1204,2023-07-02
user_1158,user_4148,2022-07-12
user_1158,user_9543,2022-02-01
user_1158,user_8722,2023-05-26
user_1158,user_7579,2022-09-22
user_9938,user_8054,2023-10-15
user_9938,user_4228,2023-10-14
user_9938,user_6019,2023-01-11
user_3426,user_2222,2022-07-29
user_3426,user_1628,2023-10-20
user_3426,user_5660,2023-06-15
user_3426,user_8154,2022-01-12
user_6050,user_2723,2022-11-20
user_6050,user_8584,2022-07-06
user_6050,user_5209,2023-05-04
user_6862,user_6699,2023-01-31
user_6862,user_2228,2022-01-07
user_2684,user_8346,2023-06-10
user_7658,user_7572,2023-12-09
user_7658,user_2938,2022-06-21
user_4878,user_5081,2023-12-23
user_4878,user_4833,2023-09-11
user_4878,user_7279,2023-07-13
user_4878,user_8511,2023-04-02
user_4878,user_2858,2023-11-03
user_7755,user_4674,2022-10-23
user_7755,user_8063,2022-04-16
user_7755,user_3743,2023-08-18
user_7755,user_3103,2022-07-29
user_7755,user_7332,2023-01-04
user_7745,user_5330,2023-07-20
user_7745,user_9189,2023-04-29
user_7745,user_1318,2023-08-05
user_7745,user_2127,2023-04-06
user_5371,user_1846,2022-11-22
user_5371,user_3432,2022-02-05
user_5371,user_2156,2022-11-23
user_5371,user_5405,2023-09-14
user_5371,user_9980,2022-09-11
user_7267,user_3323,2022-07-24
user_4644,user_7626,2022-02-14
user_4644,user_3667,2022-05-31
user_4644,user_4867,2023-11-30
user_4644,user_5101,2023-12-05
user_4644,user_3101,2022-07-23
user_6728,user_2641,2023-12-15
user_6728,user_8832,2022-08-28
user_6728,user_7142,2023-07-28
user_6728,user_8085,2022-09-02
user_6728,user_1675,2022-03-03
user_4652,user_8060,2023-11-06
user_4652,user_8793,2022-07-12
user_7528,user_8462,2023-01-06
user_7528,user_5583,2023-01-03
user_7528,user_9377,2022-07-30
user_7528,user_6881,2022-11-06
user_7528,user_5992,2022-12-07
user_5573,user_5829,2023-02-08
user_5573,user_4084,2023-12-18
user_5573,user_4314,2022-12-25
user_7548,user_8360,2023-09-13
user_7548,user_2098,2022-04-21
user_7548,user_6535,2023-09-15
user_7548,user_8750,2022-12-25
user_7548,user_8982,2023-08-09
user_6425,user_6203,2023-03-22
user_6425,user_1463,2022-12-01
user_6425,user_2729,2023-12-13
user_6425,user_7407,2022-12-27
user_6425,user_4437,2022-09-08
user_3925,user_7201,2023-06-30
user_3925,user_3086,2022-05-26
user_2776,user_6682,2023-04-30
user_2776,user_5472,2022-02-09
user_2776,user_4585,2023-01-07
user_2776,user_1583,2023-02-20
user_2776,user_3052,2023-07-11
user_6139,user_5072,2023-01-13
user_6139,user_9096,2023-08-15
user_6139,user_1017,2023-04-22
user_2894,user_8391,2023-11-30
user_2894,user_9715,2023-11-09
user_5173,user_2689,2022-09-23
user_5173,user_7581,2023-10-23
user_5173,user_1227,2022-06-22
user_1027,user_2614,2022-12-01
user_4228,user_1264,2022-04-29
user_4228,user_4133,2023-02-18
user_4228,user_6758,2022-08-04
user_6409,user_3551,2022-12-18
user_6409,user_4532,2022-04-26
user_6409,user_9324,2022-06-25
user_6409,user_9076,2022-01-17
user_5920,user_4082,2023-01-19
user_6344,user_8116,2023-12-24
user_3085,user_8502,2022-11-17
user_3085,user_9084,2022-11-22
user_3085,user_5419,2023-06-02
user_3085,user_4808,2023-07-11
user_3085,user_3535,2022-03-08
user_3851,user_3910,2023-12-09
user_3851,user_4314,2023-02-03
user_3851,user_5115,2023-12-20
user_3851,user_3956,2023-12-06
user_7653,user_5559,2022-12-09
user_7653,user_9799,2023-07-07
user_5978,user_5835,2022-04-02
user_6279,user_3988,2022-07-24
user_6279,user_3770,2022-10-26
user_6279,user_2264,2023-07-09
user_6279,user_5669,2023-02-04
user_6279,user_5524,2023-02-18
user_4501,user_1382,2023-04-05
user_2389,user_5370,2022-06-09
user_2389,user_8573,2022-11-11
user_2389,user_6901,2022-08-01
user_2389,user_4259,2022-12-23
user_6491,user_8209,2023-02-05
user_6491,user_5664,2023-06-16
user_6491,user_5550,2023-01-20
user_6491,user_6864,2023-01-23
user_6491,user_7951,2022-10-26
user_6085,user_3120,2023-12-07
user_3414,user_4989,2022-01-02
user_3414,user_3462,2023-10-21
user_8784,user_9470,2023-11-09
user_8784,user_8580,2023-11-19
user_8461,user_9364,2022-09-06
user_8461,user_7560,2022-06-20
user_8461,user_7444,2023-04-01
user_8461,user_4024,2023-08-25
user_8461,user_4472,2022-10-28
user_4185,user_2442,2022-03-04
user_4185,user_7925,2023-04-23
user_4185,user_3385,2023-06-30
user_9099,user_9824,2023-01-24
user_9099,user_6615,2022-04-21
user_1090,user_7201,2023-10-31
user_1090,user_7200,2023-07-17
user_1090,user_2167,2022-11-07
user_1090,user_9556,2023-06-10
user_1090,user_3446,2022-06-12
user_4585,user_3131,2023-12-10
user_4585,user_7472,2023-10-15
user_4585,user_2615,2022-12-27
user_8611,user_4600,2023-10-29
user_8611,user_6036,2023-09-26
user_2988,user_1130,2023-10-08
user_2988,user_7960,2022-02-03
user_2988,user_5738,2022-03-31
user_9702,user_2002,2023-08-21
user_9702,user_7118,2023-08-26
user_8251,user_8836,2023-06-18
user_7991,user_7243,2022-06-27
user_7991,user_1273,2022-05-11
user_7991,user_7940,2023-09-19
user_8777,user_5072,2023-05-12
user_5543,user_5600,2022-12-17
user_5543,user_4471,2023-12-09
user_5543,user_2604,2022-07-10
user_5543,user_6042,2023-03-01
user_5543,user_4356,2023-12-27
user_5499,user_1735,2023-09-16
user_5499,user_7006,2022-03-14
user_5499,user_5831,2023-03-01
user_5499,user_1445,2023-01-09
user_4841,user_2502,2022-12-11
user_4841,user_1916,2023-02-05
user_4841,user_1778,2023-04-10
user_4841,user_2737,2023-12-27
user_9849,user_2901,2022-01-20
user_9849,user_9446,2023-01-10
user_9849,user_5063,2022-02-28
user_9849,user_3962,2022-05-16
user_9849,user_1110,2022-02-06
user_4788,user_2318,2022-02-11
user_4788,user_1003,2023-02-04
user_4788,user_1958,2022-07-01
user_4505,user_4813,2022-08-13
user_4505,user_1368,2022-12-14
user_4505,user_8325,2023-09-16
user_4505,user_4102,2023-05-20
user_4505,user_9853,2023-07-28
user_6421,user_3646,2022-02-02
user_6421,user_7458,2023-03-12
user_6421,user_8651,2023-03-26
user_2020,user_5327,2023-11-18
user_2020,user_4243,2022-09-13
user_7381,user_2292,2022-10-21
user_7381,user_8898,2022-01-19
user_7381,user_4687,2022-12-08
user_7381,user_8904,2022-09-09
user_7381,user_5771,2023-11-16
user_7232,user_2180,2022-03-23
user_7232,user_4558,2023-03-16
user_7232,user_1796,2023-08-11
user_7232,user_8746,2023-12-11
user_7232,user_7166,2022-09-25
user_5892,user_3297,2022-01-19
user_5892,user_5330,2023-11-30
user_5892,user_2869,2022-02-22
user_5892,user_1804,2022-01-18
user_5892,user_2264,2022-04-19
user_9818,user_3066,2022-11-13
user_9818,user_6350,2023-09-15
user_9818,user_8042,2022-04-13
user_9818,user_7843,2022-06-03
user_4613,user_1729,2022-06-21
user_4613,user_2981,2023-12-03
user_4613,user_4400,2022-04-11
user_4613,user_4542,2022-05-12
user_8140,user_2616,2022-05-17
user_8140,user_1287,2022-02-01
user_8140,user_4511,2022-02-11
user_6507,user_1225,2023-07-16
user_6507,user_7099,2022-09-13
user_3704,user_6297,2023-01-11
user_3704,user_4052,2022-10-07
user_3704,user_9022,2023-03-26
user_3704,user_9962,2022-02-21
user_3704,user_7934,2022-11-25
user_9751,user_6463,2022-08-30
user_1444,user_1173,2023-03-11
user_1444,user_5719,2023-01-05
user_1444,user_9495,2022-11-10
user_3223,user_8329,2022-10-26
user_3223,user_8365,2023-01-07
user_3223,user_8151,2023-03-08
user_3223,user_4398,2023-08-28
user_5262,user_2341,2023-02-01
user_5262,user_9258,2022-03-31
user_5262,user_5883,2022-04-04
user_5262,user_5948,2022-04-15
user_8449,user_6110,2022-10-24
user_8449,user_4412,2022-11-21
user_8449,user_6438,2022-02-23
user_5558,user_6072,2023-08-26
user_5558,user_8826,2022-09-21
user_5558,user_3291,2023-08-23
user_8705,user_6405,2022-07-10
user_8705,user_9442,2023-06-08
user_1853,user_6327,2023-01-28
user_1853,user_3809,2022-02-07
user_1659,user_8468,2022-08-27
user_1333,user_8054,2022-09-09
user_1333,user_9133,2023-04-27
user_3068,user_4829,2023-08-03
user_4571,user_7151,2022-01-15
user_4571,user_1396,2023-01-10
user_4571,user_3353,2023-11-06
user_4571,user_2663,2022-09-07
user_4571,user_8779,2023-04-29
user_7043,user_1566,2022-11-03
user_7043,user_7774,2022-10-16
user_2876,user_2982,2023-01-20
user_2876,user_6764,2023-10-30
user_2876,user_5005,2022-04-07
user_2876,user_2049,2023-03-13
user_1420,user_1660,2023-07-24
user_1420,user_3727,2023-02-17
user_1420,user_1168,2023-12-24
user_1420,user_1759,2023-09-14
user_7498,user_3171,2023-07-06
user_4978,user_4766,2023-07-24
user_4978,user_6642,2023-03-31
user_4978,user_5337,2022-08-05
user_4978,user_6278,2022-09-12
user_4978,user_8340,2023-08-19
user_2983,user_4883,2022-01-16
user_2983,user_2232,2022-01-04
user_2983,user_7596,2022-03-23
user_2983,user_9260,2023-02-06
user_2983,user_8120,2023-07-23
user_6688,user_3438,2022-10-11
user_2129,user_1004,2022-03-02
user_2129,user_6500,2022-01-12
user_2129,user_4972,2022-01-31
user_2129,user_4467,2022-02-08
user_2129,user_7223,2023-01-12
user_1207,user_3950,2023-09-22
user_1207,user_5294,2023-11-12
user_1207,user_7018,2023-10-14
user_1207,user_1409,2023-07-23
user_1207,user_8028,2023-03-01
user_2729,user_6248,2023-11-13
user_3506,user_5896,2023-08-27
user_5425,user_1872,2022-07-07
user_5425,user_4794,2023-04-13
user_5425,user_3257,2023-11-06
user_5425,user_1725,2023-10-27
user_5425,user_1194,2023-02-27
user_8921,user_9762,2023-06-13
user_8921,user_9241,2022-06-02
user_8921,user_6811,2023-10-15
user_8921,user_3749,2022-03-22
user_5397,user_2422,2023-01-09
user_5397,user_2419,2022-08-16
user_5397,user_9598,2023-10-24
user_2419,user_8432,2023-12-30
user_2419,user_3525,2023-09-09
user_2419,user_4677,2022-10-16
user_2419,user_8366,2023-12-29
user_2419,user_5225,2022-08-16
user_8613,user_7276,2022-09-07
user_6511,user_9161,2022-04-20
user_6511,user_4473,2023-12-02
user_6511,user_3196,2023-12-14
user_6511,user_8944,2022-03-01
user_6511,user_7118,2023-12-15
user_3979,user_6950,2022-06-30
user_5232,user_5958,2022-05-14
user_5232,user_2409,2023-02-07
user_5232,user_4559,2023-10-12
user_5232,user_6536,2023-11-07
user_5232,user_8516,2023-10-17
user_5526,user_1276,2022-11-04
user_5526,user_8349,2022-11-08
user_5526,user_8737,2022-05-27
user_4130,user_2752,2023-12-22
user_4130,user_5273,2022-05-14
user_4130,user_1842,2022-01-22
user_4130,user_4422,2022-08-08
user_4130,user_2802,2022-12-19
user_9004,user_3851,2023-10-21
user_9004,user_9995,2023-08-17
user_9004,user_5590,2022-06-19
user_9004,user_7595,2023-10-30
user_8800,user_4110,2023-10-22
user_8800,user_9609,2022-04-21
user_8800,user_4189,2022-12-15
user_8800,user_2075,2022-08-03
user_8342,user_3681,2023-01-29
user_8342,user_6930,2023-11-16
user_8342,user_1579,2023-11-14
user_8342,user_5097,2022-08-20
user_8342,user_1951,2023-04-14
user_4630,user_7066,2022-07-24
user_4630,user_3809,2023-07-30
user_4630,user_5533,2022-11-08
user_4630,user_3157,2023-11-19
user_6016,user_3867,2022-09-09
user_6016,user_6232,2022-10-21
user_6016,user_2588,2023-01-19
user_6016,user_4274,2023-04-24
user_6016,user_7250,2022-06-07
user_8753,user_4506,2023-12-21
user_7971,user_1993,2023-07-14
user_7971,user_4347,2022-07-18
user_7971,user_7798,2023-01-13
user_6764,user_8014,2022-01-28
user_6764,user_1845,2022-01-25
user_6764,user_5435,2022-05-11
user_6764,user_9859,2022-09-13
user_6764,user_6169,2022-09-10
user_6023,user_3658,2022-09-11
user_6023,user_2576,2023-12-30
user_4155,user_4763,2023-06-26
user_4155,user_9748,2022-12-30
user_4155,user_6882,2022-01-22
user_4155,user_3964,2023-04-26
user_4033,user_5337,2023-09-08
user_4033,user_7165,2023-07-25
user_5530,user_4041,2022-06-09
user_5530,user_1268,2023-11-11
user_5636,user_2633,2023-11-19
user_5636,user_3877,2023-09-14
user_5636,user_4320,2022-01-13
user_5636,user_2852,2023-12-25
user_5636,user_6974,2023-03-08
user_5853,user_1180,2022-03-02
user_5853,user_6383,2023-02-13
user_5853,user_4222,2022-06-22
user_5853,user_8626,2023-06-15
user_5853,user_9201,2022-11-13
user_5952,user_7387,2023-04-16
user_3073,user_3923,2023-02-04
user_3073,user_2165,2023-10-11
user_5786,user_5659,2022-11-26
user_5786,user_5543,2023-03-05
user_5786,user_4090,2022-03-02
user_2680,user_6798,2022-05-09
user_2680,user_4960,2022-05-29
user_2680,user_4558,2023-10-11
user_2680,user_4862,2022-01-14
user_8690,user_4746,2023-09-12
user_8690,user_5712,2022-01-01
user_4020,user_2826,2023-08-02
user_4020,user_6816,2023-07-01
user_4020,user_8007,2022-08-22
user_4020,user_5095,2022-06-19
user_2869,user_5273,2022-03-11
user_2869,user_8483,2022-07-24
user_2213,user_6072,2023-11-08
user_2213,user_1576,2022-05-09
user_2213,user_7149,2022-11-09
user_2213,user_7591,2023-06-30
user_2213,user_2776,2022-01-24
user_3485,user_2341,2023-12-27
user_3485,user_3977,2023-04-19
user_7818,user_3477,2023-02-25
user_4697,user_6563,2022-01-21
user_4697,user_7334,2023-07-29
user_4697,user_6310,2022-06-07
user_8253,user_8424,2023-04-08
user_8253,user_1648,2022-07-28
user_8253,user_9621,2023-12-08
user_8253,user_6440,2022-06-12
user_8025,user_7178,2023-01-30
user_8025,user_6076,2023-07-21
user_1986,user_5801,2022-07-10
user_1986,user_8378,2022-04-25
user_1986,user_6507,2022-11-11
user_1986,user_3370,2023-05-05
user_1986,user_5695,2023-05-31
user_4404,user_3519,2023-05-04
user_2330,user_5727,2023-04-18
user_2330,user_9237,2022-05-01
user_2330,user_7663,2023-03-14
user_2330,user_7117,2022-10-27
user_2229,user_7174,2022-12-16
user_8381,user_8509,2023-03-11
user_5771,user_7116,2023-06-06
user_5771,user_3658,2023-06-28
user_5771,user_2031,2022-09-30
user_5771,user_2284,2022-04-09
user_5771,user_1910,2023-07-23
user_5632,user_7680,2023-08-29
user_5632,user_8492,2023-03-24
user_2166,user_1119,2022-10-25
user_4241,user_7771,2022-12-16
user_4683,user_5590,2022-05-29
user_4683,user_2427,2022-03-13
user_4683,user_4678,2023-10-03
user_4683,user_1215,2022-04-29
user_4683,user_7143,2022-12-28
user_3330,user_8201,2023-03-25
user_3330,user_5438,2022-08-20
user_3330,user_8743,2023-02-01
user_3330,user_6691,2023-02-03
user_6039,user_8354,2022-03-03
user_6039,user_3115,2023-04-21
user_5728,user_5963,2022-06-28
user_5728,user_6006,2022-06-17
user_5728,user_5052,2022-12-10
user_5728,user_9020,2022-11-25
user_5728,user_8947,2023-12-01
user_5982,user_3844,2022-03-21
user_5982,user_2166,2023-03-17
user_9199,user_2245,2022-03-13
user_9199,user_8920,2022-08-23
user_2317,user_4320,2023-07-01
user_2317,user_6565,2023-03-02
user_6280,user_1429,2022-03-30
user_6280,user_1743,2023-01-21
user_6280,user_8101,2023-04-28
user_6280,user_6658,2022-01-15
user_6280,user_4471,2023-10-10
user_2496,user_9998,2023-03-21
user_2496,user_2641,2023-06-13
user_2496,user_1017,2023-05-05
user_1339,user_9532,2023-06-22
user_1339,user_6413,2023-10-18
user_8245,user_1493,2023-10-23
user_8245,user_1892,2023-11-11
user_8141,user_9724,2022-07-31
user_2494,user_5854,2022-11-18
user_6460,user_5150,2023-06-07
user_6460,user_3367,2023-12-06
user_6460,user_1050,2023-12-26
user_3634,user_2689,2023-09-25
user_5722,user_7614,2023-11-16
user_5722,user_4123,2022-07-27
user_5722,user_4508,2022-05-13
user_1601,user_6103,2022-10-29
user_1601,user_3166,2023-08-08
user_1601,user_3570,2022-12-20
user_1601,user_3527,2022-03-30
user_5135,user_2908,2022-08-01
user_5135,user_3978,2023-11-01
user_5135,user_9624,2023-03-13
user_9431,user_8835,2022-07-28
user_9431,user_7349,2023-08-15
user_9431,user_9630,2023-10-06
user_9431,user_7922,2023-09-02
user_8569,user_2449,2023-03-08
user_8569,user_9201,2023-06-23
user_8569,user_2126,2022-10-01
user_8569,user_1772,2022-07-21
user_9494,user_4385,2022-03-13
user_9494,user_5277,2023-12-18
user_9494,user_6807,2023-08-24
user_9494,user_9260,2022-10-12
user_8242,user_9395,2022-01-08
user_9998,user_4808,2022-03-21
user_9998,user_1672,2022-09-26
user_9998,user_2142,2023-02-11
user_8941,user_7828,2022-10-17
user_8941,user_3774,2023-08-22
user_8941,user_9905,2023-08-10
user_4920,user_7187,2023-12-05
user_1224,user_4564,2023-05-20
user_1224,user_2856,2022-07-24
user_1224,user_1321,2023-01-16
user_1224,user_4784,2022-04-12
user_4681,user_8431,2023-10-09
user_3522,user_8919,2022-02-16
user_3522,user_9920,2023-09-04
user_9337,user_8474,2023-05-07
user_9337,user_7381,2023-08-22
user_9337,user_7006,2023-08-19
user_8905,user_9809,2022-06-08
user_3369,user_6421,2023-09-29
user_3369,user_6919,2022-03-19
user_3369,user_8093,2022-04-06
user_3369,user_4447,2022-03-18
user_9327,user_3358,2022-03-14
user_5377,user_6009,2023-06-30
user_5377,user_5872,2022-04-07
user_5377,user_8769,2023-07-13
user_9022,user_1008,2022-06-23
user_8935,user_4519,2022-10-10
user_8935,user_8280,2023-06-25
user_9903,user_5063,2022-03-28
user_9903,user_2129,2023-02-21
user_9903,user_5696,2023-11-22
user_4090,user_5407,2023-10-04
user_4090,user_1474,2023-01-01
user_4090,user_7941,2023-01-29
user_4090,user_4684,2023-04-15
user_7274,user_5032,2023-08-17
user_7274,user_2639,2023-04-01
user_7274,user_4640,2023-05-28
user_1715,user_1290,2022-04-20
user_7246,user_5333,2022-04-12
user_7246,user_8388,2022-09-21
user_7246,user_2717,2023-12-28
user_9115,user_2219,2023-02-08
user_9115,user_1996,2023-03-02
user_9115,user_8085,2022-08-26
user_9115,user_1997,2023-11-28
user_6439,user_3623,2023-01-13
user_6439,user_5290,2023-02-15
user_6439,user_6134,2022-08-17
user_6439,user_9093,2023-12-18
